"Facility","Code","SampleDate","N1_Copies.L","N2_Copies.L","ORFlab_Copies.L","S_Copies.L","N_Copies.L","MA_old","MA_new"
"Central","CEN",2020-09-13,,,,,,,
"Central","CEN",2020-09-16,655.688141307125,1701399.64675074,,,,,
"Central","CEN",2020-09-20,482.446947269316,57226.9712384126,,,,,
"Central","CEN",2020-09-23,4704.15909877113,33376.6904647329,,,,,
"Central","CEN",2020-09-27,5536.7683166322,3255.66256524855,,,,,
"Central","CEN",2020-09-30,118.415056439586,1716.03569071469,,,,81816.556868376,
"Central","CEN",2020-10-04,114.204564201646,557.341204212377,,,,6990.26664604322,
"Central","CEN",2020-10-07,37355.0810856315,2597.54773437035,,,,7626.73280558233,
"Central","CEN",2020-10-11,37359.9185721487,2597.54773437035,,,,10591.9272942081,
"Central","CEN",2020-10-14,9436.91422254697,766.403425099024,,,,11396.5741919368,
"Central","CEN",2020-10-18,9360.4298506854,916.306801775615,,,,10912.0568845123,
"Central","CEN",2020-10-21,34251.0051498978,9728.86962952843,,,,13051.9728613183,
"Central","CEN",2020-10-25,34107.5298687899,9693.86501787237,,,,14772.4216898942,
"Central","CEN",2020-10-28,103.988919389401,436.897020677141,,,,12321.8024071264,
"Central","CEN",2020-11-01,318.330573343939,15.3234371791774,,,,9677.67878012789,
"Central","CEN",2020-11-04,13.2007098296241,87.0292764060153,,,,5604.45726513445,
"Central","CEN",2020-11-08,13.109383906811,87.0292764060153,,,,1936.88478075042,
"Central","CEN",2020-11-11,38002.6165960839,2141.1583596729,,,,5093.35936533453,
"Central","CEN",2020-11-15,35620.7161198859,1564.88968161286,,,,9700.94467648749,
"Central","CEN",2020-11-18,33938.998729871,4042.5176742803,,,,14426.3832829618,
"Central","CEN",2020-11-22,38179.9174741493,4557.20806930513,,,,18087.5179924642,
"Central","CEN",2020-11-25,150884.364629129,18104.7941920377,,,,35984.932869378,
"Central","CEN",2020-11-29,150884.364629129,18104.7941920377,,,,52303.9570069651,
"Central","CEN",2020-12-02,214795.847866795,119819.511626525,,,,89218.1999540841,
"Central","CEN",2020-12-06,195409.390658826,102603.476850384,,,,116065.316694036,
"Central","CEN",2020-12-09,142891.397782434,29094.1191029031,,,,121700.362838629,
"Central","CEN",2020-12-13,128691.063171683,25314.7166559263,,,,112926.348769761,
"Central","CEN",2020-12-16,194434.03911391,11482.148055749,,,,105265.147756648,
"Central","CEN",2020-12-20,88037.985355151,9831.65823744435,,,,83973.2805437281,
"Central","CEN",2020-12-23,6522.48398235317,6231.89356563939,,,,59567.4042279707,
"Central","CEN",2020-12-27,6522.48398235317,6231.89356563939,,,,38998.8895930279,
"Central","CEN",2020-12-30,29042.2425082464,7207.04239423447,,,,24455.3997645937,
"Central","CEN",2021-01-03,29042.2425082464,7207.04239423447,,,,15797.3850311435,
"Central","CEN",2021-01-06,116608.904910235,24117.8661180921,,,,28247.4647976602,
"Central","CEN",2021-01-10,50348.9155534231,8510.65414669905,,,,33031.6593435727,
"Central","CEN",2021-01-13,81995.7117159071,36474.4544692881,,,,44288.2239770157,
"Central","CEN",2021-01-17,61693.1304304296,17601.9431779463,,,,45315.7189766756,
"Central","CEN",2021-01-20,42311.5196995956,13428.3265816232,,,,42456.7153605392,
"Central","CEN",2021-01-24,25924.1213027349,13402.0558177231,,,,34120.1330458613,
"Central","CEN",2021-01-27,37853.1414069594,7453.58264622904,,,,29090.7731569393,
"Central","CEN",2021-01-31,37818.647168151,7856.94394082314,,,,24237.5101257781,
"Central","CEN",2021-02-03,9611.56347874038,3754.45661605359,,,,18643.2169288752,
"Central","CEN",2021-02-07,11165.7701295827,3297.98923216741,,,,14602.3223718079,
"Central","CEN",2021-02-10,5195.12543378687,1315.22352071296,,,,9986.59547934452,
"Central","CEN",2021-02-14,5259.31656508187,1316.87555323073,,,,6460.7721917604,
"Central","CEN",2021-02-17,9051.1231161265,81.097306627684,,,,4539.57597104142,
"Central","CEN",2021-02-21,3712.60277565427,688.83708287932,,,,3658.91726956462,
"Central","CEN",2021-02-24,36070.6885829816,12560.1530851137,,,,8589.8432933031,
"Central","CEN",2021-02-28,36011.4737766171,12537.556043346,,,,13732.6902918165,
"Central","CEN",2021-03-03,22747.4419456642,3374.59085923236,,,,16160.0338757786,
"Central","CEN",2021-03-07,22859.7850611729,27392.859071149,,,,19851.4268110945,
"Central","CEN",2021-03-10,9266.41446703543,2644.71825924271,,,,17107.763762438,
"Central","CEN",2021-03-14,3899.84575529392,1328.24194885882,,,,12623.6953799173,
"Central","CEN",2021-03-17,9880.97369860647,2634.69626916886,,,,8982.99967767329,
"Central","CEN",2021-03-21,9882.00337870768,688.707928962529,,,,6625.76318848637,
"Central","CEN",2021-03-24,14626.6458024078,4579.06691229711,,,,6218.48292104312,
"Central","CEN",2021-03-28,24090.7589068798,6950.77933440953,,,,8863.0547679457,
"Central","CEN",2021-03-31,16971.3056381796,1775.25165581069,,,,10026.6048888779,
"Central","CEN",2021-04-04,19359.0218962529,1829.97921043556,,,,10913.059444291,
"Central","CEN",2021-04-07,23283.7991581572,8394.35263526628,,,,12338.7466574829,
"Central","CEN",2021-04-11,23258.616338011,9803.0141754715,,,,13596.7084612522,
"Central","CEN",2021-04-14,11932.8915817945,3954.54401528961,,,,12625.2588841391,
"Central","CEN",2021-04-18,11931.0417131324,3076.259399641,,,,11517.2669318148,
"Central","CEN",2021-04-21,47291.5439220422,16934.9570562181,,,,15965.2135785309,
"Central","CEN",2021-04-25,42403.9639027798,16938.4688925931,,,,20023.5502652863,
"Central","CEN",2021-04-28,74955.5335025915,8752.16479776509,,,,27822.163918525,
